Date,PrDec,PrInc,PredictedPrInc,PredictedPrDec
2007-01-12,0.06,0.05690639715,0.47335636615753174,0.3734152615070343
2007-01-31,0.06,0.04862699576,0.47319918870925903,0.37350961565971375
2007-02-15,0.05,0.04537094109,0.4731766879558563,0.3735337555408478
2007-02-28,0.07,0.080664519,0.4731924831867218,0.3735889494419098
2007-03-15,0.08,0.07607378031,0.47311314940452576,0.3735309839248657
2007-03-30,0.07,0.06947860949,0.47311434149742126,0.37355902791023254
2007-04-13,0.07,0.04913061217,0.473167359828949,0.3735167980194092
2007-04-30,0.06,0.06854930632,0.4732224941253662,0.37359073758125305
2007-05-15,0.07,0.08866730039,0.47326695919036865,0.3735426366329193
2007-05-31,0.07,0.08911722423,0.47326892614364624,0.37351784110069275
2007-06-15,0.07,0.08814960855,0.4732036292552948,0.3734991252422333
2007-06-29,0.06,0.08502389525,0.4731181859970093,0.3734360337257385
2007-07-13,0.09,0.1139399139,0.4730328321456909,0.37347787618637085
2007-07-31,0.12,0.1608617203,0.4729996919631958,0.37357789278030396
2007-08-15,0.14,0.2201096838,0.4730329215526581,0.37357982993125916
2007-08-31,0.14,0.1850233289,0.4730396270751953,0.37355372309684753
2007-09-14,0.14,0.1894113378,0.47299906611442566,0.3735381066799164
2007-09-28,0.12,0.142358664,0.4729401469230652,0.3735576868057251
2007-10-15,0.11,0.1724111287,0.4728087782859802,0.3735077381134033
2007-10-31,0.13,0.1887169553,0.47272947430610657,0.37366098165512085
2007-11-15,0.18,0.2321308149,0.4727065861225128,0.3736666142940521
2007-11-30,0.18,0.1938966047,0.4726833999156952,0.3737734854221344
2007-12-14,0.18,0.2146537956,0.4726736545562744,0.373720645904541
2007-12-31,0.17,0.2005285034,0.4726788401603699,0.3736738860607147
2008-01-15,0.18,0.2158034483,0.4726824164390564,0.3736291527748108
2008-01-31,0.18,0.1723304994,0.47267863154411316,0.37367331981658936
2008-02-15,0.18,0.1909581549,0.47267577052116394,0.3736629784107208
2008-02-29,0.19,0.2056988553,0.4726918041706085,0.3736404776573181
2008-03-14,0.21,0.2347856572,0.47267743945121765,0.3738059997558594
2008-03-31,0.2,0.1932351627,0.47264739871025085,0.37376347184181213
2008-04-15,0.19,0.1893845804,0.4726526141166687,0.37369441986083984
2008-04-30,0.16,0.1710295081,0.47266024351119995,0.3736744821071625
2008-05-15,0.16,0.142115933,0.4726713001728058,0.3736012279987335
2008-05-30,0.18,0.1685825961,0.47267627716064453,0.373614102602005
2008-06-13,0.17,0.1927859846,0.4726851284503937,0.37357890605926514
2008-06-30,0.18,0.1800417722,0.4726877510547638,0.37356841564178467
2008-07-15,0.2,0.1907528204,0.47268664836883545,0.3735639154911041
2008-07-31,0.17,0.1717625995,0.4726916551589966,0.3735726475715637
2008-08-15,0.17,0.172933169,0.47271591424942017,0.37350067496299744
2008-08-29,0.17,0.1761910956,0.47272759675979614,0.37349823117256165
2008-09-15,0.2,0.2230792523,0.47273552417755127,0.37350380420684814
2008-09-30,0.24,0.2217940703,0.472758412361145,0.37345069646835327
2008-10-15,0.35,0.2942525401,0.4727632999420166,0.3734913766384125
2008-10-31,0.28,0.3615895671,0.4727773070335388,0.37337127327919006
2008-11-14,0.33,0.3163860454,0.472776859998703,0.37347114086151123
2008-11-28,0.33,0.2971304559,0.4727962017059326,0.37342214584350586
2008-12-15,0.35,0.2951129967,0.4728012979030609,0.373453289270401
2008-12-31,0.27,0.2587886737,0.47281408309936523,0.37345394492149353
2009-01-15,0.29,0.2988965044,0.472833514213562,0.3734540045261383
2009-01-30,0.29,0.2897852198,0.47281548380851746,0.373370885848999
2009-02-13,0.27,0.2790281626,0.47279074788093567,0.3734443783760071
2009-02-27,0.3,0.2977931944,0.4727979600429535,0.3734746277332306
2009-03-13,0.29,0.2678376508,0.472825825214386,0.373495489358902
2009-03-31,0.32,0.2511823871,0.4728623628616333,0.37346795201301575
2009-04-15,0.3,0.2638026327,0.47289127111434937,0.3734939396381378
2009-04-30,0.28,0.2668952287,0.4729100465774536,0.3734574317932129
2009-05-15,0.28,0.2124765819,0.47287318110466003,0.37340524792671204
2009-05-29,0.24,0.1832483607,0.472819447517395,0.37346750497817993
2009-06-15,0.24,0.2164316836,0.47279247641563416,0.37351325154304504
2009-06-30,0.24,0.2024613031,0.4727950096130371,0.37341946363449097
2009-07-15,0.23,0.2099101672,0.47277557849884033,0.3735615015029907
2009-07-31,0.22,0.198476882,0.4727924168109894,0.3735238313674927
2009-08-14,0.21,0.1848781681,0.47280561923980713,0.37345170974731445
2009-08-31,0.21,0.2026636514,0.4727831482887268,0.37346887588500977
2009-09-15,0.2,0.1840446266,0.47279390692710876,0.37356266379356384
2009-09-30,0.21,0.1828725095,0.47282785177230835,0.373523086309433
2009-10-15,0.2,0.1769736146,0.4728579521179199,0.3735184967517853
2009-10-30,0.21,0.1894919056,0.4728822410106659,0.37349116802215576
2009-11-13,0.22,0.1742500157,0.47291645407676697,0.37346890568733215
2009-11-30,0.22,0.1795312215,0.47290539741516113,0.37346479296684265
2009-12-15,0.21,0.1731712484,0.47294342517852783,0.37351587414741516
2009-12-31,0.19,0.154218795,0.4729822874069214,0.37348735332489014
2010-01-15,0.17,0.1197623265,0.4730166494846344,0.373492032289505
2010-01-29,0.19,0.1494005787,0.4730434715747833,0.3734892010688782
2010-02-12,0.18,0.1533626139,0.4730812907218933,0.3734942674636841
2010-02-26,0.16,0.1228648006,0.4731024503707886,0.3734304904937744
2010-03-15,0.16,0.1213028267,0.4730929136276245,0.37344086170196533
